,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,sig
NEBL,1928.12568900102,-1.18747628088017,0.112729264325976,-10.5338776756883,6.02982277332004e-26,3.43977622423097e-25,down
RECK,791.653777622609,-1.01538427677508,0.0963978480949683,-10.5332670473593,6.06907792235875e-26,3.45910587247359e-25,down
C14orf180,622.572421837311,-1.00033910472721,0.094970668986587,-10.5331373928565,6.07744550140445e-26,3.46234301210043e-25,down
CADM3,212.963238974637,-1.43353720880564,0.136169812151128,-10.5275698494365,6.44775650934149e-26,3.66682347005862e-25,down
PIGR,6837.11478568717,-2.40632255134697,0.228609872528569,-10.5258907882303,6.5637626577565e-26,3.7295027258298e-25,down
CAPZA3,125.85903247056,-1.26830306659865,0.120532102654904,-10.522533322346,6.80196950765755e-26,3.85974313780339e-25,down
PIP,315.539332826122,-1.97004122857294,0.187261833535148,-10.5202495958856,6.96887275828822e-26,3.95097051054184e-25,down
MYOZ1,614.828947326001,-1.42326769822277,0.135494854175727,-10.5042195652456,8.26032053973182e-26,4.67081601722061e-25,down
WFDC1,1187.4505411246,-1.15340240963969,0.109815061630931,-10.5031349298521,8.35581349247943e-26,4.72273951718418e-25,down
SFRP5,1129.54532534922,-1.89771091530445,0.180843481676792,-10.4936650063843,9.23742281524987e-26,5.2073191808855e-25,down
PRELP,597.542686767254,-1.4236032900979,0.135713478378207,-10.4897708548196,9.62615601450231e-26,5.41697315958079e-25,down
ICA1,1648.16670807494,-1.1595281342453,0.110553221043124,-10.4884156545109,9.76520691101375e-26,5.49042471500516e-25,down
GALNT16,442.71739612107,-1.30543757860072,0.12447036742115,-10.4879386608037,9.81462122172144e-26,5.51579999812364e-25,down
TPSD1,835.581212645429,-1.18127494109022,0.112655650495487,-10.4857140844218,1.00483698635559e-25,5.6422429037691e-25,down
UCP3,4693.00242914238,-1.21093842032756,0.115586464601088,-10.4764725221655,1.10799643505052e-25,6.21066234981974e-25,down
RUNDC3B,154.691480673411,-1.08720343308512,0.103826038174196,-10.4713947695957,1.16907606964883e-25,6.54164589624092e-25,down
GRIA2,32.6327950197999,-1.54263323486538,0.147414377320942,-10.4646050331092,1.25599237880874e-25,7.01884504617587e-25,down
IVL,37559.7407221595,-1.36066565677976,0.130206946516253,-10.4500235447109,1.46488857368954e-25,8.17233608099529e-25,down
HPCAL4,203.152789726115,-1.6618105760447,0.159318348535758,-10.4307544693869,1.79457646867595e-25,9.98097560147449e-25,down
DES,40986.1955232288,-1.74401664228571,0.167236208568352,-10.4284631732302,1.8383752998015e-25,1.02201606546151e-24,down
CLIC3,21832.9979091769,-1.5548263981319,0.149194348126985,-10.4214832374785,1.97843392639724e-25,1.09940497868519e-24,down
PLA2G1B,401.19157618494,-1.8871587395131,0.1811152878639,-10.4196545844943,2.01684333210626e-25,1.11978271383021e-24,down
CYP2C9,357.444016526646,-1.71976279473242,0.165523072142641,-10.3898675421539,2.75735771346816e-25,1.52109313521128e-24,down
FAM3D,9994.84860236781,-1.93496029953127,0.186251076842231,-10.3889885220386,2.78288593331218e-25,1.53451856622407e-24,down
SMPD3,1145.27630396087,-1.26111189030737,0.121615403196281,-10.3696724030261,3.40690702271487e-25,1.872200058003e-24,down
KLK13,31760.4782136394,-1.79250569310557,0.172967881650667,-10.3632285716824,3.64448492959777e-25,2.00019643707494e-24,down
DSG3,39343.7624628626,-1.10764374724495,0.106900074603915,-10.3614871303784,3.71146079948711e-25,2.03608716176293e-24,down
DCLK1,104.561609553469,-1.40985593802449,0.136145955905526,-10.3554742309262,3.95223081003257e-25,2.16448490918493e-24,down
NDNF,825.722560199621,-1.08874176865257,0.105158384241387,-10.3533520080853,4.04085319065737e-25,2.21113975993448e-24,down
CPO,41.0995477712717,-1.09631065737695,0.105940225840951,-10.3483889020857,4.25587018586678e-25,2.32484579576548e-24,down
CST5,8754.46707618724,-1.15451623728983,0.111580357971233,-10.3469486770018,4.32036081061291e-25,2.35807489836885e-24,down
TM4SF5,223.597996089469,-1.57015934854854,0.151752480335694,-10.3468447110398,4.32505351338121e-25,2.3596363534885e-24,down
KRT15,41245.3399642955,-1.28506994290102,0.12421102051912,-10.3458609190254,4.3697096256309e-25,2.38097418306902e-24,down
PDZD2,2635.62138908148,-1.0289828622657,0.0994595385270423,-10.3457433797155,4.37507540978958e-25,2.38288990923888e-24,down
ZBTB7C,8241.02644399674,-1.15318146223912,0.111662208988344,-10.3274104344425,5.29713182933148e-25,2.87294126709974e-24,down
PLEKHG6,2003.71901243593,-1.06253356698692,0.10307378053616,-10.3084757487299,6.45164206685181e-25,3.48150823054538e-24,down
EPS8L3,77.4566243411298,-1.77171988590875,0.172125657626321,-10.2931771494235,7.56385757538808e-25,4.0629712021924e-24,down
CLDN4,23480.4426616707,-1.07224344283578,0.104191058829384,-10.2911272318636,7.72664668613964e-25,4.14868428362504e-24,down
NTRK3,75.0772919306628,-1.2147197079157,0.118052096658423,-10.2896919436376,7.84268795771152e-25,4.20748286477643e-24,down
NLGN3,38.5216508966009,-1.0325479602199,0.100377282423621,-10.2866698050486,8.09269966427938e-25,4.3343893711261e-24,down
PRKAR2B,2620.91046527596,-1.08280589508674,0.105360312016328,-10.2771705432966,8.93110569975068e-25,4.7774739417977e-24,down
AQP3,48369.8831171692,-1.3626087493239,0.132605292413407,-10.275673953313,9.07082114181333e-25,4.85019705801982e-24,down
LYPD3,49693.3670726792,-1.24729532579608,0.121537369410804,-10.2626486967983,1.03819285137671e-24,5.53058813837195e-24,down
CSN3,97.9181448132118,-1.64875588233694,0.160782515858027,-10.2545719821477,1.12874956537396e-24,6.000587351045e-24,down
ITIH5,159.901468935947,-1.47085760253733,0.143443592311765,-10.2539094206489,1.13651657093902e-24,6.03689482485173e-24,down
KRT20,311.732654554896,-2.16069889220907,0.211287804166026,-10.2263303873007,1.5113823727245e-24,7.9852815188943e-24,down
IGFL1,14064.5000328724,-1.63409693461709,0.159845922463396,-10.2229503851829,1.56503556607169e-24,8.26197669121697e-24,down
ABRA,75.6160276734017,-1.23674683026096,0.120988988483567,-10.2219784276396,1.58081050485507e-24,8.33841937470848e-24,down
GRIA3,888.167669438744,-1.30464783086346,0.127658110643499,-10.2198585290586,1.61576514521082e-24,8.51930856957045e-24,down
SBSN,31653.2128791907,-1.48155397032458,0.145271444015002,-10.198521673479,2.01313315952599e-24,1.05668982183595e-23,down
IGSF9B,799.627530740576,-1.40523646358715,0.137937413817096,-10.1874931876749,2.25504021656166e-24,1.18171063121553e-23,down
MT1HL1,2529.20261353595,-1.79293443105234,0.176070686261468,-10.1830376715281,2.36074634124441e-24,1.23562672172162e-23,down
CLDN5,3319.2155314621,-1.00761273621439,0.0989596911024711,-10.1820521566809,2.38478235993238e-24,1.24770030781028e-23,down
PMP2,89.9270469324571,-1.37074432440502,0.134663224939737,-10.1790546381051,2.45938981029624e-24,1.28568994100754e-23,down
GRHL1,7414.88274492409,-1.181779693113,0.116317533455713,-10.1599445758791,2.99246511526883e-24,1.55489887655417e-23,down
MS4A2,413.060174408526,-1.20275183243778,0.11840021421786,-10.1583585839184,3.04153724416033e-24,1.57975972750118e-23,down
MACC1,2466.63167732889,-1.15882305075378,0.114139147387564,-10.152722157797,3.22247193819914e-24,1.67104110450657e-23,down
PHACTR2,1551.06269113511,-1.06826383901557,0.105279827577636,-10.1468995874619,3.42057876481677e-24,1.77163148651407e-23,down
MYO5C,1258.40385237379,-1.11193433608815,0.10977880633694,-10.1288616008024,4.11411167899494e-24,2.12570688075146e-23,down
CD1A,1210.25864036848,-1.18855333358277,0.11754147280686,-10.1117784659357,4.8986824112448e-24,2.52399712556977e-23,down
CFTR,199.103326525028,-1.43742474600469,0.142411253488055,-10.0934772414264,5.90402540679932e-24,3.03591821417094e-23,down
SCIN,1882.15698142975,-1.28701285042088,0.127571815342283,-10.0885359902401,6.20885861487351e-24,3.18757703539999e-23,down
TGM3,10454.5161000862,-1.85240230452101,0.183768032887743,-10.0801117333207,6.76491517172201e-24,3.46752376947677e-23,down
ALOX12,4080.48403907164,-1.71574482362405,0.170229403214379,-10.0790156766474,6.84079664568346e-24,3.50363028202977e-23,down
TTLL7,1129.08795038698,-1.26111619089829,0.125141937310572,-10.0774865564731,6.94807001326617e-24,3.55574453082565e-23,down
CH25H,6368.92115536381,-1.27831141198935,0.126942857554113,-10.0699750787037,7.49970855507015e-24,3.83196136048626e-23,down
CTNNA2,28.5808626014759,-1.19971687543195,0.119184759663476,-10.0660258813242,7.80691243454445e-24,3.9857645291069e-23,down
KRTAP20-1,1058.18127234062,-1.18345212167822,0.117647156782129,-10.059334658379,8.35611506140104e-24,4.25940317000027e-23,down
PKHD1L1,39.7722794572493,-1.30372713257999,0.129727512308598,-10.0497350899527,9.21147088216424e-24,4.68428568626757e-23,down
BPIFB1,5924.67761156522,-2.68922235682547,0.267617221115364,-10.0487642223376,9.30266408114388e-24,4.7269276540124e-23,down
HSPB7,1122.68748768032,-1.59561392305322,0.159097032052516,-10.0291872354132,1.1344657246851e-23,5.74638340529641e-23,down
CDX1,15463.1622702018,-1.26112806014767,0.126015964574369,-10.0076848549091,1.4101379518908e-23,7.11197609957141e-23,down
