,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
HAPLN4,233.38279778377,0.903542531808628,0.154180769100911,5.86028035193716,4.62086374609642e-09,1.76640043597238e-07
GPAM,1068.7746005855,0.237632222422253,0.165919115889636,1.43221726531088,0.152081652078754,0.318811529151888
MPST,10033.7840997404,-0.0465486458239713,0.115761580001699,-0.402107899903302,0.687604619083508,0.821618412283083
ELF4,3739.94593410361,-0.101001219689803,0.0933653546277522,-1.0817847807947,0.279348170719969,0.475791687901803
CYP3A4,243.666064864633,0.0217131501972736,0.121448701244166,0.17878454009665,0.858106884910533,0.924346954975871
OLFML3,4516.71715898329,0.0786723585689424,0.149036568595289,0.527872852350608,0.59758758819747,0.75866468295575
PI4KB,3644.93409811018,0.0241381686264334,0.0553582318100525,0.43603575904045,0.662810785165939,0.803735508180192
ABCA10,238.306862106887,0.441051792563636,0.196591586589285,2.24349271612051,0.0248650590415556,0.0867763424028965
KCNAB1,399.235751154113,0.0830214940568892,0.108781821842432,0.763192715940574,0.445348472219433,0.634921530283046
LRP10,6652.60431225402,-0.423197088649426,0.110488348384422,-3.83024178420151,0.000128017408246175,0.00129884729840142
HOXC13,1084.12380059196,-0.0765728043581466,0.206058162589193,-0.371607721800401,0.710184939026707,0.834648171742629
SNRNP70,11635.7035831017,0.154682407377154,0.0615096728333238,2.51476556860098,0.0119111557084619,0.0496383987430466
NT5DC3,866.415553812483,0.264795910917866,0.0939807598486729,2.81755447970668,0.00483909043573221,0.0247812851384328
TONSL,1397.34090792691,0.206641424184106,0.112715941948657,1.83329368154713,0.0667589085245794,0.179733491884852
SNX5,18502.4728159538,0.0842191611580296,0.0662227850459752,1.27175504774619,0.203460165184525,0.387481481200014
SP9,11914.5611847093,-0.0173784756738903,0.0769262602566017,-0.22591083481663,0.821270770689792,0.904228767924939
C1orf137,19.251138309174,-0.0743274735432178,0.194553273098208,-0.382041753189617,0.702430394773022,0.830295112989416
EFNA2,858.02459248789,0.0562253527257122,0.0710785749036496,0.791030951337001,0.428925930177355,0.620755738075207
MRGPRX1,18.0948259712744,-0.42366701751407,0.194476652120452,-2.17849810192981,0.0293689733897875,0.0978530683757513
KLHL38,232.880305567845,0.246149149661283,0.169472692679911,1.45244136839315,0.146378920732715,0.310026880821337
ATF6,5756.60339330385,-0.0223781060371371,0.0937891496278323,-0.238600159250151,0.811415641630034,0.897769370002301
NPS,28.161354128391,0.0976095552825055,0.126734160961829,0.770191355998358,0.441186390677225,0.631054606296213
ABCG1,1598.57350435994,-0.336103974508778,0.127982198829239,-2.62617752768279,0.00863497684595137,0.0386982323345293
